File52,exposure_category,hunting_history,contrast_type,study_type,sampling,sampling_time,pop_cn,pop_sn,treatments,controls,outcomes,comment,
barriEffectsGroupSize2012,lethal interaction,,spatial,treatment-control,FIS,600,Lesser rhea,Rhea pennata pennata,hunting,negative control,foraging time + vigilance time,,
benevidesFearinducedBehaviouralModifications2019,active interaction,,treatment–control,treatment-control,scan,,Dusky damselfish,Stegastes fuscus,snorkeller + SCUBA Diver,negative control,foraging time + habitat selection,bite rate measured totally for a given territory,
benhaiemHuntingIncreasesVigilance2008,lethal interaction,,temporal,treatment-control,FIS,900,roe deer,Capreolus capreolus,hunting,negative control,feeding time + vigilance time,temporal gradient of hunting (seaon + off season),
bhardwajInducingFearUsing2022,lethal interaction,,Auditory cues,playback,FIS,40,moose,Alces alces,hunting + dog,positive control + negative control,flight probability + feeding time + vigilance time,,
brosethDisturbanceEffectsHunting2010,lethal interaction,,spatial,correlational,GPS,-,willow ptarmigan,-,hunting,negative control,displacement + range size,,
brownEffectHumanActivities2012,active interaction,,none,correlational,FIS + scan,867,Multispecies,,anthropogenic noise + pedestrians,none,foraging time + vigilance time,,
brownEvaluatingIndirectEffects2020,lethal interaction,,temporal,treatment-control,GPS,,Mule deer,Odocoileus hemionus,hunting,negative control,movement rate + range size,,
camillewardPredictorsVigilanceAmerican1997,active interaction,,spatial,correlational,FIS,,american crow,Corvus branchyrhynchos,pedestrian,none,vigilance time + foraging time,,
cappaEffectsRoadsBehaviour2017,passive interaction,,none,correlational,FIS,,Guanco,Lama guanicoe,road,none,vigilance rate pop.,,
chen-krausHumanLemurCoexistenceMultipleUse2022,passive interaction,,none,correlational,FIS,1200,Verreaux’s Sifaka,Propicthecus verreauxi,road,none,foraging time + vigilance time,"passive interactions (dogs, livestock, vehicles) also included as predictors",
ciutiEffectsHumansBehaviour2012,passive interaction,,spatial,treatment-control,FIS,450,Elk,Cervus elaphus,road,none,foraging time + vigilance time,,
clinchyFearHumanSuper2016,lethal interaction,,Auditory cues,playback,FIS,150,Badger,Meles meles,hunting + natural predator,negative control + positive control,foraging rate + vigilance rate + foraging time + vigilance time,,
crawfordPreyTellsLarge2022,active interaction,,Auditory cues,playback,FIS,10,whitetailed deer,,generic disturbance + natural predator,positive control,foraging time + vigilance time + latency to feed,raw data available on dryad -- calculate raw foraging time (proportion), no information on nature of human interaction
cristinavallinoBehaviouralResponsesHuman2019,active interaction,,none,correlational,FIS,,Alpine chough,Pyrrhocorax graculus,pedestrian,negative control,foraging time + prob. Flight + density,sampling time not reported in text,
crosmaryVulnerabilityPredationWater2012,lethal interaction,,spatial,correlational,FIS,120,Multispecies,,hunting,negative control,vigilance time,,
fernandez-juricicEffectsHumanDisturbance2000,active interaction,,temporal,treatment-control,FIS,420,Blackbird,Turdus merula,pedestrian,negative control,vigilance time + foraging time,,
gavinPronghornAntilocapraAmericana2006,passive interaction,,spatial,treatment-control,FIS,600,pronghorn antelope,Antilocapra americana,road,negative control,vigilance time + foraging time,distance from road used as categorical control,
gerte.olssonEffectsHuntingWillow1996,lethal interaction,,spatial,treatment-control,GPS,,willow grouse,Lagopus lagopus,hunting,negative control,movement rate + displacement,,
giordanoPreyResponsesPredation2022,passive interaction,,Auditory cues,treatment-control,FIS,45,Multispecies,,road,positive control,GUD + foraging time + vigilance time,should lack of mouse vigilance be included in meta-analysis? +  playback,
grignolioEffectsHuntingHounds2011,lethal interaction,,spatial,treatment-control,GPS,,roe deer,,hunting,negative control,range size,,
jayakodyRedDeerCervus2008,lethal interaction + active interaction,,treatment-control,treatment-control,scan,,Red deer,Cervus elaphus,hunting + hiking,negative control,vigilance time + foraging time + vigilance frequency + foraging frequency,not focal animal sampling,
jiangBehavioralResponsesBlue2013,active interaction,1988,none,correlational,scan,,blue sheep,Pseudois nayaur,tourism,none,vigilance rate pop. + FID,bad design,
lesmerisesRefugePredationRisk2017,active interaction + passive interaction,,spatial,treatment-control,FIS,1800,Gaspesie caribou,Rangifer tarandus caribou,hiking + roads,none,foraging time + vigilance time,state-dependence of human effects on herbivore --  reproductive state --  human sheild effect,
lianRoadProximityTraffic2011,passive interaction,,none,correlational,FIS,600,Tibetan antelope,Pantholops hodgsoni,road,none,vigilance time + foraging time + vigilance frequency + foraging frequency,,
liCollectiveVigilanceWintering2016,active interaction,,spatial,treatment-control,scan,9000,Hooded crane,Grys monacha,pedestrian,negative control,collective vigilance + vigilance time,,
liQuantifyingHumanDisturbance2011,active interaction,,none,correlational,FIS,120,yellowbellied marmot,Marmota flaviventris,pedestrian,none,vigilance time + foraging time,,
liVigilanceActivityTimeBudget2015,active interaction,,spatial,treatment-control,FIS,480,Hooded crane,Grus monacha,pedestrian,negative control,vigilance time + foraging time,,
loehrGenderAgeclassspecificReactions2005,active interaction,,treatment-control,treatment-control,FIS,240,Thinhorn sheep,Ovis dalli,pedestrian,negative control,foraging time + vigilance time,,
lopesHumanmodifiedLandscapesAlter2021,passive interaction,,spatial,treatment-control,GPS,,Capybaras,Hydrochoerus hydrochaeris,human settlement,negative control,displacement + range size,,
matsonFactorsAffectingVigilance2005,lethal interaction,,spatial,treatment-control,FIS,300,impala,,NA,negative control,vigilance time + vigilance rate,,
mccormickBoatNoiseImpacts2018,passive interaction,,none,treatment-control,FIS,,Ward's Damsel fish,Pomocentrus wardi,boat noise,negative control,displacement,sampling time not reported in text,
metcalfeObserverEffectsRemote2022,active interaction,,none,correlational,scan,,capuchin,Sapajus macrocephalus,pedestrian,none,vigilance rate + foraging time,,
millerBehavioralResponsesPredatory2022,passive interaction,,Auditory cues,treatment-control,GPS,,Multispecies,,Sonar + natural predator,negative control,foraging time,,
montero-quintanaEcotourismImpactsBehaviour2020,active interaction,,BACI,BACI,scan,,Whale shark,Rhincodon typus,snorkeller + SCUBA Diver,negative control,foraging probability + vigilance probability,,
murchisonHumanActivityHabitat2016,active interaction,,none,treatment-control,FIS,120,Multispecies,,pedestrian,negative control,density + vigilance time + foraging time,,
neweyForagingBehaviourCommon2007,active interaction,,temporal,treatment-control,FIS,120,Common Myna,Acridotheres tristis,generic disturbance,negative control,vigilance time,,
pangleLethalNonlethalAnthropogenic2010,lethal interaction + active interaction,,treatment-control,treatment-control,FIS,600,Spotted Hyena,,hunting + natural predator,positive control,vigilance time,,
parsonsEcologicalImpactHumans2016,active interaction,,spatial,correlational,FIS,,Multispecies,,hiking + natural predator,negative control,viglance rate pop. + temporal activity,,
pecorellaEffectsCullingVigilance2016,lethal interaction,,spatial,correlational,FIS,600,fallow deer,Dama dama,hunting,negative control,foraging time + vigilance time + fecal cortisol,,
peksaDaytimeActivityBudget2018,passive interaction,,none,correlational,FIS,5802,Tatra chamois,Rupicapra rupicapra tatrica,road,none,foraging time,,
picardiMovementResponsesRoe2019,lethal interaction,,spatial,treatment-control,GPS,,roe deer,Capreolus capreolus,hunting,negative control,movement rate + range size,,
podgorskiSpatiotemporalBehavioralPlasticity2013,passive interaction,,spatial,treatment-control,GPS,,wild boar,Sus scofra,human settlement,negative control,displacement + range size,,
proffittContrastingEffectsWolves2009,lethal interaction,,temporal,treatment-control,GPS,,elk,,hunting,none,movement rate + group size,,
proudmanRedDeerAllocate2021,lethal interaction + active interaction,,temporal,treatment-control,FIS,60,Red deer,Cervus elaphus,hunting + hiking + natural perdator,negative control,vigilance time,,
reimersVigilanceFrightBehaviour2011,active interaction,,spatial,correlational,FIS,600,Svalbard reindeer,Rangifer tarandus platyrhynchus,Hunting + generic disturbance,negative control,vigilance rate + vigilance time + FID + AD + ED,desensitisation in absence of predators --  habituation to humans may alter response to NHD,
reislandEndangeredApesCanTheir2021,passive interaction,,none,treatment-control,scan,,Javan gibbons,Hylobates moloch,human settlement,none,feeding time,,
rodeBehavioralResponsesBrown2006,active interaction,,BACI,BACI,FIS,1200,brown bear,ursus arctos,hiking,negative control,foraging time,BACI,
rosellResponsesForagingEurasian2000,active interaction,,Olfactory cues,treatment-control,GUD,,Eurasian beaver,Castor fiber,human cue + natural predator,negative control,foraging rate + giving up density,,
schuttlerDeerLookoutHow2017a,lethal interaction,,spatial,treatment-control,scan,,whitetailed deer,Odocoileus virginianus,hiking,natural predator,vigilance rate,,
severcanEffectsFlockSize2011,active interaction,,none,treatment-control,FIS,,Eurasian coot,Fulica atra,pedestrian,negative control,vigilance rate + vigilance time + feeding rate,,
shannonBehavioralResponsesAssociated2014,passive interaction,,none,treatment-control,scan,,Multispecies,,road,none,group size + vigilance + foraging,#example of human sheild effect altering vigilance foraging and grouping behavior,
shannonRoadTrafficNoise2014,passive interaction,,Auditory cues,correlational,scan,,prairie dog,Cynomus ludovicianus,road,negative control,abundance + vigilance + foraging,,
smithFearHumanSuper2017,lethal interactions,,Auditory cues,treatment-control,FIS,900,Puma,Puma concolor,conflict,positive control,feeding time,,
sonnichsenBehaviouralResponsesEuropean2013,lethal interaction,,treatment-control,correlational,FIS,,roe deer,Capreolus capreolus,hunting + natural predator,negative control,vigilance time + foraging time,,
stillmanSeasonalChangesResponse2002,active interaction,,treatment–control,correlational,scan,,Oyesercatcher,Haematopus ostralegus,pedestrian,negative control,prob. feeding + abundance + return time,,
tsunodaHumanDisturbancesIncrease2021,lethal interaction,,temporal,correlational,FIS,,Sika deer,Cervus nippon,hunting,none,vigilance time + foraging time,sampling time variable across treatments,
uchidaHabituationSensitizationLongterm2021,active interaction,,none,correlational,FIS,120,yellowbellied marmot,Marmota flaviventer,generic disturbance,none,vigilance time,study demonstrates habituation of animals to repeated exposure of non-threatening stimulus,
yasueApproachAssessPotential2008,active interaction,,spatial,treatment-control,FIS,300,Multispecies,,pedestrian,none,foraging rate,,
yasueEffectsHumanPresence2005,active interaction,,none,correlational,FIS,60,Multispecies,,pedestrian,none,foraging rate,,
zhengDeterminantsVigilanceReintroduced2013,active interaction,,spatial,treatment-control,FIS,600,Pere David’s deer,Elaphurus davidianus,generic disturbance,negative control,vigilance time,,
