,pop_cn,pop_sn,functional_group,trophic_level, grouping
19,Impala,Aepyceros melampus,herbivore,1, yes
21,Moose,Alces alces,herbivore,1, yes
26,Pronghorn Antelope,Antilocapra americana,herbivore,1, yes
39,Western Sandpiper,Calidris mauri,insectivore,1, yes
29,Roe Deer,Capreolus capreolus,herbivore,1, yes
11,Elk,Cervus elaphus,herbivore,1, yes
28,Red Deer,Cervus elaphus,herbivore,1, yes
33,Semipalmated Plover,Charadrius semipalmatus,herbivore,1, yes
2,American Crow,Corvus brachyrhynchos,omnivore,2, yes
34,Spotted Hyena,Crocuta crocuta,carnivore,3, yes
24,Prairie Dog,Cynomys ludovicianus,herbivore,1, yes
13,Fallow Deer,Dama dama,herbivore,1, yes
23,Pere David’s Deer,Elaphurus davidianus,herbivore,1, yes
12,Eurasian Coot,Fulica atra,herbivore,1, yes
17,Hooded Crane,Grus monacha,insectivore,2, yes
32,Sable Antelope,Hippotragus niger,herbivore,1, yes
6,Capybaras,Hydrochoerus hydrochaeris,herbivore,1, yes
,Willow Grouse,Lagopus lagopus,granivore,1, yes
16,Guanaco,Lama guanicoe,herbivore,1, yes
43,Yellowbellied Marmot,Marmota flaviventris,herbivore,1, yes
3,Badger,Meles meles,omnivore,2, no
,Mule Deer,Odocoileus hemionus,herbivore,1, yes
37,Thinhorn Sheep,Ovis dalli,herbivore,1, yes
22,White-footed mouse,Peromyscus leucopus,herbivore,1, yes
38,Verreaux’s Sifaka,Propithecus verreauxi,herbivore,1, yes
27,Puma,Puma concolor,carnivore,3, no
1,Alpine chough,Pyrrhocorax graculus,granivore,1, yes
14,Gaspesie Caribou,Rangifer tarandus caribou,herbivore,1, yes
35,Svalbard Reindeer,Rangifer tarandus platyrhynchus,herbivore,1, yes
20,Lesser Rhea,Rhea pennata pennata,herbivore,1, yes
40,Whale Shark,Rhincodon typus,herbivore,1, yes
36,Tatra Chamois,Rupicapra rupicapra tatrica,herbivore,1, yes
8,Dusky Damselfish,Stegastes fuscus,herbivore,1, yes
41,Wild Boar,Sus scrofa,herbivore,1, yes
7,Chipmunk,Tamias striatus,herbivore,1, yes
15,Greater Kudu,Tragelaphus strepsiceros,herbivore,1, yes
4,Blackbird,Turdus merula,omnivore,1, yes
5,Brown Bear,ursus arctos,omnivore,3, no
,Ward's Damsel Fish,Chromis wardi,herbivore,1, yes
